source,translated,context
"Olive Grove","Olivar",
"Harvest","Cosecha",
"Our Product","Nuestro Producto",
"OUR OIL","NUESTRO ACEITE",
"Every drop of our oil represents our commitment to excellence and respect for tradition.","Cada gota de nuestro aceite representa el compromiso con la excelencia y el respeto por la tradición.",
"100% Organic","100% Ecológico",
"We grow our olive trees following strict certified organic practices. No pesticides, no chemicals, just the purity of nature. Our commitment to the environment is reflected in every bottle.","Cultivamos nuestros olivos siguiendo estrictas prácticas ecológicas certificadas. Sin pesticidas, sin químicos, solo la pureza de la naturaleza. Nuestro compromiso con el medio ambiente se refleja en cada botella.",
"Traditional in Process","Tradicional en su Proceso",
"We follow artisanal methods passed down from generation to generation. Careful harvesting, cold milling, and optimal storage guarantee an oil of exceptional quality.","Seguimos los métodos artesanales transmitidos de generación en generación. La recolección cuidadosa, la molienda en frío y el almacenamiento óptimo garantizan un aceite de calidad excepcional.",
"Authentic","Auténtico",
"Our oil is pure, without blends or additives. What reaches your table is exactly what comes from our olive trees: an authentic product with all the flavor and properties of extra virgin olive oil.","Nuestro aceite es puro, sin mezclas ni aditivos. Lo que llega a tu mesa es exactamente lo que sale de nuestros olivos: un producto auténtico con todo el sabor y las propiedades del aceite de oliva virgen extra.",
"Taste the Difference","Prueba la Diferencia",
"Discover why our organic extra virgin olive oil is special. Direct from our farm to your table.","Descubre por qué nuestro aceite de oliva virgen extra ecológico es especial. Directo de nuestra finca a tu mesa.",
"Shop Now","Comprar Ahora",
"Finca Garval - Contact","Finca Garval - Contacto",
"Let's Talk?","¿Hablamos?",
"We're Here to Help","Estamos Aquí Para Ayudarte",
"Do you have any questions about our extra virgin olive oil? Need information about orders or shipping? Don't hesitate to contact us.","¿Tienes alguna pregunta sobre nuestro aceite de oliva virgen extra? ¿Necesitas información sobre pedidos o envíos? No dudes en contactarnos.",
"Contact Information","Información de Contacto",
"Business Hours","Horario de Atención",
"Monday - Friday: 9:00 AM - 6:00 PM","Lunes - Viernes: 9:00 - 18:00",
"Saturday: 9:00 AM - 2:00 PM","Sábado: 9:00 - 14:00",
"Sunday: Closed","Domingo: Cerrado",
"Send Us a Message","Envíanos un Mensaje",
"Full Name","Nombre Completo",
"Email","Correo Electrónico",
"Phone","Teléfono",
"Subject","Asunto",
"Select...","Seleccionar...",
"General Inquiry","Consulta General",
"Orders","Pedidos",
"Wholesale","Venta al Por Mayor",
"Other","Otro",
"Message","Mensaje",
"I have read and accept the","He leído y acepto la",
"Send Message","Enviar Mensaje",
"Finca Garval - Shop","Finca Garval - Tienda",
"Showing","Mostrando",
"products","productos",
"Newest","Más Recientes",
"Price: Low to High","Precio: Menor a Mayor",
"Price: High to Low","Precio: Mayor a Menor",
"Name: A-Z","Nombre: A-Z",
"Min","Min",
"Max","Max",
"No products available","No hay productos disponibles",
"We'll be adding new products soon. Check back later!","Pronto añadiremos nuevos productos. ¡Vuelve pronto!",
"Back to Home","Volver al Inicio",
"Login","Iniciar Sesión",
"Access your account to view your orders","Accede a tu cuenta para ver tus pedidos",
"Password","Contraseña",
"Remember me","Recordarme",
"Forgot password?","¿Olvidaste tu contraseña?",
"or continue with","o continuar con",
"Continue with Google","Continuar con Google",
"or","o",
"Create an Account","Crear una Cuenta",
"By logging in, you accept our","Al iniciar sesión, aceptas nuestros",
"Terms","Términos",
"and","y",
"Privacy","Privacidad",
"Create Account","Crear Cuenta",
"Register to manage your orders","Regístrate para gestionar tus pedidos",
"Confirm Password","Confirmar Contraseña",
"I accept the","Acepto los",
"Terms and Conditions","Términos y Condiciones",
"I want to receive offers and news by email","Quiero recibir ofertas y novedades por email",
"Already have an account?","¿Ya tienes cuenta?",
